id,rating,tags
134483,800,implementation|math
134480,800,games|greedy
134415,2600,dfs and similar|divide and conquer|dsu|graphs|trees
134412,2000,bitmasks|dp|greedy
134409,2400,brute force|greedy|math
134406,1600,binary search|greedy|strings|two pointers
134403,800,implementation
134400,800,brute force|math
134335,2600,bitmasks|dp|math
134332,2400,bitmasks|combinatorics|dp|strings
134329,1900,binary search|dfs and similar|dp|graphs
134326,1400,data structures|implementation
134323,1200,data structures|implementation
134320,900,brute force|greedy|math|number theory
134245,1800,dp|greedy|implementation
134244,800,implementation
134240,800,implementation
134175,3500,dp|math
134172,2900,data structures
134169,2500,dp|math
134166,1900,constructive algorithms|dfs and similar|graphs|greedy
134163,1700,data structures|implementation|math
134160,1600,brute force|data structures|dp
134103,1500,data structures|divide and conquer|sortings
134102,1400,brute force
134098,1300,dfs and similar|dp|graphs|trees
134095,1300,data structures|greedy|implementation|sortings|two pointers
134092,1100,binary search|greedy|sortings
134089,1000,brute force|greedy|implementation
134086,800,brute force|greedy|implementation|implementation|math|strings
134083,800,greedy|math|sortings
134080,800,implementation
134018,2300,dp
134015,1800,dfs and similar|dp|greedy|trees
134012,1500,dsu|greedy|strings
134009,1300,graphs|implementation|trees
134006,1100,implementation
134003,900,greedy|implementation
134000,800,greedy|math
133938,2000,dfs and similar|dp|graphs
133935,1800,data structures|greedy|implementation
133932,2000,binary search|brute force|constructive algorithms|greedy|math
133929,1200,constructive algorithms|implementation|sortings
133926,1000,combinatorics|implementation|strings
133923,800,combinatorics|math
133920,800,constructive algorithms|math
133855,2400,bitmasks|constructive algorithms|divide and conquer|greedy|interactive|math
133852,2500,bitmasks|combinatorics|math|number theory
133849,1900,combinatorics|math|number theory
133846,1500,brute force|dp|math|number theory
133843,1100,brute force|greedy|strings
133840,800,games|greedy|strings
133784,3000,data structures|greedy
133781,2700,constructive algorithms|data structures|greedy
133778,3200,constructive algorithms|graphs|math|matrices
133777,2800,constructive algorithms|dfs and similar|graphs
133776,2000,constructive algorithms|graphs|greedy
133772,2200,binary search|constructive algorithms|greedy|interactive
133769,1700,constructive algorithms|greedy|implementation|two pointers
133766,1100,constructive algorithms|greedy|implementation
133763,800,constructive algorithms|implementation
133760,800,games|implementation|math
133695,2700,brute force|combinatorics|dp|fft|math
133692,2100,combinatorics|divide and conquer|dp|dsu|hashing|sortings|trees
133689,1600,brute force|constructive algorithms|greedy
133686,1200,binary search|brute force|greedy|math
133683,1000,brute force|math|sortings
133680,800,implementation
133615,2400,bitmasks|combinatorics|dp
133612,2200,bitmasks|constructive algorithms|dfs and similar|trees
133609,1700,binary search|brute force|geometry|greedy|implementation|math
133606,1400,data structures|dfs and similar|dsu|graphs|implementation|math
133603,1100,brute force|implementation|strings
133600,800,greedy|implementation|sortings
133541,1300,bitmasks|greedy|math
133538,1200,dfs and similar|implementation
133535,1100,binary search|data structures|greedy|two pointers
133532,1200,data structures|math|strings
133529,1100,implementation
133526,800,greedy|greedy|implementation|math
133523,800,implementation|sortings
133520,800,implementation
133443,900,greedy|math|sortings
133440,800,implementation|math
133375,3500,implementation
133372,3000,combinatorics|dp|fft|math
133369,2900,constructive algorithms|dfs and similar|dp|trees
133366,2400,constructive algorithms|math
133363,2100,data structures|dp
133360,1300,brute force|greedy|math
133313,1800,dfs and similar|graphs
133310,3200,flows
133307,2100,constructive algorithms|dp|shortest paths|trees
133304,2200,brute force|constructive algorithms|geometry|interactive|math
133301,3500,math
133298,3100,geometry|math
133295,2200,combinatorics|dp|implementation
133292,2500,binary search|constructive algorithms|greedy|math
133289,900,greedy
133286,1800,brute force|constructive algorithms|geometry
133283,3300,
133280,3300,
133212,2500,bitmasks|brute force|data structures|divide and conquer|greedy|implementation|two pointers
133209,2000,bitmasks|chinese remainder theorem|constructive algorithms|games|interactive|math|number theory
133206,1600,binary search|greedy|sortings|trees
133203,900,constructive algorithms|greedy|sortings
133200,800,constructive algorithms|math
132895,2600,binary search|greedy
132892,2500,brute force|data structures|dp|dsu|math|trees
132889,1900,data structures|greedy
132886,1700,binary search|greedy|math
132883,1300,bitmasks|brute force|dfs and similar|dp|graphs|greedy|shortest paths
132880,800,greedy|math
132817,2100,data structures|implementation|math|strings
132816,1700,brute force|implementation|math|strings
132812,1600,brute force|constructive algorithms|greedy|implementation
132809,1600,brute force|implementation|math|two pointers
132806,1300,dp|greedy|strings
132803,800,math
132800,800,greedy|math
132735,3000,dfs and similar|games|graphs|trees
132732,2200,bitmasks|brute force|constructive algorithms|dfs and similar|dsu|graphs
132729,1900,constructive algorithms|data structures|greedy|implementation|math|two pointers
132726,1500,binary search|brute force|dp|greedy|implementation|math
132723,1300,bitmasks|constructive algorithms|greedy|strings
132720,1000,constructive algorithms|greedy|implementation|math
132655,2700,brute force|constructive algorithms|greedy|math
132652,2500,data structures|dp|games|hashing|implementation|math|number theory|sortings
132651,2300,bitmasks|brute force|data structures|math
132650,1600,bitmasks|math
132646,1700,constructive algorithms|math
132643,800,combinatorics|math|number theory
132640,800,constructive algorithms|implementation|math
132575,2600,2-sat|dfs and similar|dsu|graphs|trees
132572,2200,combinatorics|dp|graph matchings|math
132569,2000,binary search|brute force|greedy|math|sortings
132566,1200,greedy|implementation
132563,800,greedy
132560,800,brute force|math
132504,3500,constructive algorithms|graphs
132501,3200,data structures|math|number theory
132498,3200,constructive algorithms|graphs|math
132495,2600,binary search|constructive algorithms|graphs|greedy|math|sortings
132492,2200,constructive algorithms|dfs and similar|math|trees
132489,1900,constructive algorithms|math|number theory
132486,1200,constructive algorithms|math|number theory|sortings
132483,1100,data structures|greedy|math|two pointers
132480,800,math|sortings
132341,3500,combinatorics|constructive algorithms|divide and conquer|dp|fft|math
132338,2900,data structures|dfs and similar|graphs|greedy|shortest paths|trees
132335,2800,bitmasks|data structures|divide and conquer|greedy|hashing|sortings|strings
132332,2300,brute force|data structures|graphs|math
132329,2100,dfs and similar|math|number theory|trees
132326,1400,data structures|greedy|implementation|sortings
132323,800,strings
132320,800,brute force|greedy|implementation|sortings
132095,3000,binary search|brute force|data structures
132092,2600,brute force|combinatorics|constructive algorithms|dfs and similar|graph matchings|greedy|math
132089,1900,binary search|data structures|dfs and similar|graphs|shortest paths
132086,1500,brute force|data structures|implementation
132083,800,constructive algorithms|greedy
132080,800,implementation
132018,2100,data structures|dfs and similar|dp|graphs|shortest paths
132015,2200,dp|greedy|implementation
132012,1900,binary search|data structures|greedy|implementation|math|sortings
132009,1300,brute force|constructive algorithms|implementation|math
132006,1200,greedy|hashing|implementation|sortings
132003,900,math
132000,800,implementation|strings
131923,1300,greedy|implementation
131920,800,implementation
131855,3500,data structures|dfs and similar|graphs
131852,3200,data structures|dfs and similar|divide and conquer|dsu|graphs|implementation|trees
131849,2800,data structures|divide and conquer|dp|implementation|shortest paths
131846,1900,combinatorics|data structures|implementation
131843,1800,brute force|constructive algorithms|data structures|math
